transient,prog_age,mass_weighted_age_50,age_diff,ssfr_50
2023jvg,1.7523189,7.322822194742061,-5.570503335641719,-9.606055304729594
2024ado,1.8804489,7.039880635057803,-5.159431697641726,-9.649866285105585
2024ssi,3.2225842,8.331958359428564,-5.109374111839452,-9.966954090644151
2024lol,0.9338698,6.025933831212724,-5.092064052102769,-9.31487751018662
2024jin,1.9109808,7.001275885816808,-5.090295065160985,-9.668192727546266
2024afpi,1.4618073,6.508141725254777,-5.046334474278215,-9.552845921573049
2024aeed,1.3285666,6.353298179709492,-5.024731628500996,-9.487800539039169
2024vuf,1.7781756,6.794425534143523,-5.016249941721037,-9.646631116127027
2024dz,0.8293687,5.824259119246287,-4.994890408728404,-9.187293114016024
2019yyv,2.1598973,7.145643073886468,-4.9857457464633725,-9.767697011132974
2018ilu,2.014225,6.99476231603623,-4.980537309932714,-9.721035855014213
2023yma,0.7041434,5.6708455107664335,-4.966702105805801,-9.15340896642725
2023dof,0.88481855,5.827028726080867,-4.942210172156306,-9.310387100694683
2024ptr,1.2999396,6.240936788664603,-4.940997156248832,-9.518994833613956
2024bci,1.1456411,6.075205628284335,-4.929564539798617,-9.42848018803442
2020iso,3.481438,8.395021380637065,-4.913583459113017,-9.959237558132047
2021accx,1.4099534,6.311960286492585,-4.902006930703401,-9.510443497484829
2019ulr,1.3605697,6.25763326981,-4.897063554310122,-9.5140613501145
2024aun,1.1387538,6.034776118298328,-4.896022346516407,-9.426645520006954
2019axg,1.4314603,6.315739667436271,-4.884279406091362,-9.578410424179218
2020axk,2.0733678,6.949598067664665,-4.876230233573478,-9.78267344046894
2018eui,3.2233477,8.094667293803779,-4.871319629924384,-9.862034743329572
2019mbh,2.1180525,6.985723634969087,-4.867671152364107,-9.837978692024777
2024dza,1.078221,5.944503311053642,-4.866282347575553,-9.343743027532325
2019qvf,1.5425955,6.4044759986267845,-4.861880492912368,-9.624978283944507
2024iro,1.363507,6.224156003378609,-4.8606489709842,-9.520193196529409
2024ttf,0.8710316,5.716500254042881,-4.845468671687382,-9.293962738882628
2019hhf,0.65105414,5.495779380506377,-4.844725236600738,-9.148064729490043
2020efe,2.8743174,7.716081523941925,-4.841764116333893,-9.882123254750924
2017dit,1.3681884,6.209409161707139,-4.841220780512071,-9.539543703606032
